_id,YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU
95,PARK,ÇİĞLİ,MALTEPE,Anadolu Caddesi,ÇİĞLİ ÖĞRENİM BİRİMİ,10287.969999999999345163814723491668701171875,,1
96,PARK,ÇİĞLİ,ATAŞEHİR,8019/21 Sokak,SARIZEYBEK PARKI,27073.75,1,1
97,PARK,ÇİĞLİ,AYDINLIKEVLER,6793 Sokak,ÇİĞLİ AYDINLIKEVLER PARKI,19977.75999999999839928932487964630126953125,1,1
98,PARK,ÇİĞLİ,AHMET TANER KIŞLALI,6831 Sokak,ÇİĞLİ KÜLTÜR MERKEZİ YANI PARKI,10182.2900000000008731149137020111083984375,1,
99,PARK,MENEMEN,CUMHURİYET,7516/1 Sokak Sevgi Caddesi,KOYUNDERE CUMHURİYET MAHALLESİ PARKI,17479.95000000000072759576141834259033203125,1,1
100,PARK,ÇİĞLİ,İNÖNÜ,9501Sokak,HARMANDALI DERE KENARI PARKI,8394.510000000000218278728425502777099609375,1,1
101,YEŞİL ALAN,KARŞIYAKA,TUNA,Cemal Gürsel Caddesi,ALAYBEY SAHİL TRAMVAY HATTI,8695.620000000000800355337560176849365234375,,
102,SAHİL BANDI,KARŞIYAKA,TUNA,Cemal Gürsel Caddesi,ALAYBEY SAHİL,27710.7099999999991268850862979888916015625,1,1
103,SAHİL BANDI,KARŞIYAKA,TUNA,Cemal Gürsel Caddesi,KARŞIYAKA PELİKAN SAHİL,46794.8199999999997089616954326629638671875,1,2
104,SAHİL BANDI,KARŞIYAKA,BOSTANLI,Hasan Ali Yücel Bulvarı,BOSTANLI SAHİL,137207.70999999999185092747211456298828125,1,3
105,SAHİL BANDI,KARŞIYAKA,BOSTANLI,Hasan Ali Yücel Bulvarı,BOSTANLI VAPUR İSKELESI ÖNÜ,6212.149999999999636202119290828704833984375,,1
106,YEŞİL ALAN,KARŞIYAKA,BOSTANLI,Cengiz Topel Caddesi,BOSTANLI TRAMVAY HATTI YEŞİL ALAN,4825.65999999999985448084771633148193359375,,
107,YEŞİL ALAN,KARŞIYAKA,BOSTANLI,Cengiz Topel Caddesi,BOSTANLI ÇARŞI DURAĞI TRAMVAY HATTI YEŞİL ALAN,693.490000000000009094947017729282379150390625,,
